Rank,Title,Sales,Series,Genre(s),Mode(s),Platform(s),Initial release date,Developer(s)[a],Publisher(s)[a],Ref
1,Minecraft,"238,000,000[b]",Minecraft,"Sandbox, Survival","Single-player, multiplayer",Multi-platform[c],"<span data-sort-value=""000000002011-11-18-0000"" style=""white-space:nowrap"">November 18, 2011[d]",Mojang Studios,Xbox Game Studios,[4][5]
2,Grand Theft Auto V,"160,000,000",Grand Theft Auto,Action-adventure,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002013-09-17-0000"" style=""white-space:nowrap"">September 17, 2013",Rockstar North,Rockstar Games,[6]
3,Tetris (EA),"100,000,000",Tetris,Puzzle,Single-player,Multi-platform[e],"<span data-sort-value=""000000002006-09-12-0000"" style=""white-space:nowrap"">September 12, 2006",EA Mobile,Electronic Arts,[7][8]
4,Wii Sports,"82,900,000",Wii,Sports simulation,"Single-player, multiplayer",Wii,"<span data-sort-value=""000000002006-11-19-0000"" style=""white-space:nowrap"">November 19, 2006",Nintendo EAD,Nintendo,[9]
5,PUBG: Battlegrounds,"75,000,000",PUBG Universe,Battle royale,Multiplayer,Multi-platform,"<span data-sort-value=""000000002017-12-20-0000"" style=""white-space:nowrap"">December 20, 2017",PUBG Corporation,PUBG Corporation,[10]
6,Super Mario Bros.,"58,000,000",Super Mario,Platform,"Single-player, multiplayer",Multi-platform[f],"<span data-sort-value=""000000001985-09-13-0000"" style=""white-space:nowrap"">September 13, 1985",Nintendo R&D4,Nintendo,[g]
7,Mario Kart 8 / Deluxe,"51,810,000",Mario Kart,Kart racing,"Single-player, multiplayer",Wii U / Switch,"<span data-sort-value=""000000002014-05-29-0000"" style=""white-space:nowrap"">May 29, 2014",Nintendo EAD,Nintendo,[h]
8,Pokémon Red / Green / Blue / Yellow,"47,520,000",Pokémon,Role-playing,"Single-player, multiplayer",Game Boy / Color,"<span data-sort-value=""000000001996-02-27-0000"" style=""white-space:nowrap"">February 27, 1996",Game Freak,Nintendo,[i]
9,Wii Fit / Plus,"43,800,000",Wii,Exergaming,"Single-player, multiplayer",Wii,"<span data-sort-value=""000000002007-12-01-0000"" style=""white-space:nowrap"">December 1, 2007",Nintendo EAD,Nintendo,[9]
10,Red Dead Redemption 2,"43,000,000",Red Dead,Action-adventure,"Single-player, multiplayer",Multi-platform,"<span data-sort-value=""000000002018-10-26-0000"" style=""white-space:nowrap"">October 26, 2018",Rockstar Studios,Rockstar Games,[6]
Tetris (Nintendo)[j],"43,000,000",Tetris,Puzzle,"Single-player, multiplayer",Game Boy / NES,"<span data-sort-value=""000000001989-06-14-0000"" style=""white-space:nowrap"">June 14, 1989",Nintendo R&D1,Nintendo,[k]
12,Pac-Man,"42,071,635",Pac-Man,"Maze, Action","Single-player, multiplayer (alternating turns)",Multi-platform[c],"<span data-sort-value=""000000001980-05-22-0000"" style=""white-space:nowrap"">May 22, 1980",Namco,Namco,[l]
13,Animal Crossing: New Horizons,"37,620,000",Animal Crossing,Social Simulation,"Single-player, multiplayer",Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo,[15]
14,Mario Kart Wii,"37,380,000",Mario Kart,Kart racing,"Single-player, multiplayer",Wii,"<span data-sort-value=""000000002008-04-10-0000"" style=""white-space:nowrap"">April 10, 2008",Nintendo EAD,Nintendo,[9]
15,Terraria,"35,000,000",None,"Action-adventure, Sandbox","Single-player, multiplayer",Multi-platform[c],"<span data-sort-value=""000000002011-05-16-0000"" style=""white-space:nowrap"">May 16, 2011",Re-Logic,Re-Logic / 505 Games,[31]
16,Wii Sports Resort,"33,140,000",Wii,Sports simulation,"Single-player, multiplayer",Wii,"<span data-sort-value=""000000002009-06-25-0000"" style=""white-space:nowrap"">June 25, 2009",Nintendo EAD,Nintendo,[9]
17,New Super Mario Bros.,"30,800,000",Super Mario,Platform,"Single-player, multiplayer",Nintendo DS,"<span data-sort-value=""000000002006-05-15-0000"" style=""white-space:nowrap"">May 15, 2006",Nintendo EAD,Nintendo,[32]
